From,To,Passenger_Count
Upv,Sst,1752
U,Sst,73
Vhe,Sst,46
Åbe,Sst,2565
Äs,Sst,2593
Öso,Sst,6
Öte,Sst,812
Bkb,Sta,208
Bro,Sta,91
Bål,Sta,134
Fas,Sta,184
Flb,Sta,675
Gn,Sta,56
Gdv,Sta,1
Hnd,Sta,277
Hel,Sta,285
Hfa,Sta,1
Hu,Sta,416
Hgv,Sta,122
Jkb,Sta,477
Jbo,Sta,170
Khä,Sta,190
Ke,Sta,556
Kn,Sta,4
Kda,Sta,2
Kän,Sta,158
Mr,Sta,301
Mö,Sta,1
Nvk,Sta,94
Ngd,Sta,1
Nyh,Sta,54
Rs,Sta,47
R,Sta,187
Rön,Sta,143
Ssä,Sta,1
Skg,Sta,208
Sol,Sta,374
So,Sta,483
Spå,Sta,377
Cst,Sta,4378
Sst,Sta,911
Sta,Sta,0
Sub,Sta,573
Söc,Sta,51
Söd,Sta,68
Söu,Sta,1
Tåd,Sta,115
Tul,Sta,235
Tu,Sta,407
Ts,Sta,1
Udl,Sta,164
Upv,Sta,335
U,Sta,14
Vhe,Sta,10
Åbe,Sta,501
Äs,Sta,518
Öso,Sta,2
Öte,Sta,166
Bkb,Sub,733
Bro,Sub,321
Bål,Sub,473
Fas,Sub,580
Flb,Sub,2074
Gn,Sub,172
Gdv,Sub,3
Hnd,Sub,873
Hel,Sub,989
Hfa,Sub,1
Hu,Sub,1277
Hgv,Sub,422
Jkb,Sub,1684
Jbo,Sub,536
Khä,Sub,670
Ke,Sub,1890
Kn,Sub,11
Kda,Sub,4
Kän,Sub,558
Mr,Sub,1044
Mö,Sub,1
Nvk,Sub,327
Ngd,Sub,2
Nyh,Sub,170
Rs,Sub,163
R,Sub,636
Rön,Sub,437
Ssä,Sub,2
Skg,Sub,654
Sol,Sub,1300
So,Sub,1677
Spå,Sub,1330
Cst,Sub,14662
Sst,Sub,2998
Sta,Sub,573
Sub,Sub,0
Söc,Sub,156
Söd,Sub,209
Söu,Sub,3
Tåd,Sub,360
Tul,Sub,720
Tu,Sub,1250
Ts,Sub,3
Udl,Sub,570
Upv,Sub,1163
U,Sub,48
Vhe,Sub,29
Åbe,Sub,1613
Äs,Sub,1631
Öso,Sub,4
Öte,Sub,511
Bkb,Söc,57
Bro,Söc,25
Bål,Söc,37
Fas,Söc,50
Flb,Söc,191
Gn,Söc,19
Gdv,Söc,1
Hnd,Söc,76
Hel,Söc,78
Hfa,Söc,1
Hu,Söc,115
Hgv,Söc,33
Jkb,Söc,130
Jbo,Söc,47
Khä,Söc,52
Ke,Söc,151
Kn,Söc,1
Kda,Söc,1
Kän,Söc,43
Mr,Söc,82
Mö,Söc,1
Nvk,Söc,26
Ngd,Söc,1
Nyh,Söc,17
Rs,Söc,13
R,Söc,51
Rön,Söc,45
Ssä,Söc,1
Skg,Söc,57
Sol,Söc,102
So,Söc,131
Spå,Söc,102
Cst,Söc,1187
Sst,Söc,247
Sta,Söc,51
Sub,Söc,156
Söc,Söc,0
Söd,Söc,23
Söu,Söc,1
Tåd,Söc,31
Tul,Söc,68
Tu,Söc,122
Ts,Söc,1
Udl,Söc,45
Upv,Söc,91
U,Söc,4
Vhe,Söc,3
Åbe,Söc,136
Äs,Söc,141
Öso,Söc,1
Öte,Söc,55
Bkb,Söd,76
Bro,Söd,33
Bål,Söd,49
Fas,Söd,67
Flb,Söd,256
Gn,Söd,25
Gdv,Söd,1
Hnd,Söd,101
Hel,Söd,104
Hfa,Söd,1
Hu,Söd,154
Hgv,Söd,45
Jkb,Söd,174
Jbo,Söd,62
Khä,Söd,69
Ke,Söd,202
Kn,Söd,2
Kda,Söd,1
Kän,Söd,58
Mr,Söd,110
Mö,Söd,1
Nvk,Söd,35
Ngd,Söd,1
Nyh,Söd,23
Rs,Söd,18
R,Söd,68
Rön,Söd,60
Ssä,Söd,1
Skg,Söd,76
Sol,Söd,136
So,Söd,176
Spå,Söd,137
Cst,Söd,1592
Sst,Söd,331
Sta,Söd,68
Sub,Söd,209
Söc,Söd,23
Söd,Söd,0
Söu,Söd,1
Tåd,Söd,42
Tul,Söd,91
Tu,Söd,163
Ts,Söd,1
Udl,Söd,60
Upv,Söd,122
U,Söd,6
Vhe,Söd,4
Åbe,Söd,182
Äs,Söd,189
Öso,Söd,1
Öte,Söd,73
Bkb,Söu,1
Bro,Söu,1
Bål,Söu,1
Fas,Söu,1
Flb,Söu,3
Gn,Söu,1
Gdv,Söu,1
Hnd,Söu,2
Hel,Söu,2
Hfa,Söu,1
Hu,Söu,2
Hgv,Söu,1
Jkb,Söu,2
Jbo,Söu,1
Khä,Söu,1
Ke,Söu,3
Kn,Söu,1
Kda,Söu,1
Kän,Söu,1
Mr,Söu,2
Mö,Söu,1
Nvk,Söu,1
Ngd,Söu,1
Nyh,Söu,1
Rs,Söu,1
R,Söu,1
Rön,Söu,1
Ssä,Söu,1
Skg,Söu,1
Sol,Söu,2
So,Söu,2
Spå,Söu,2
Cst,Söu,17
Sst,Söu,4
Sta,Söu,1
Sub,Söu,3
Söc,Söu,1
Söd,Söu,1
Söu,Söu,0
Tåd,Söu,1
Tul,Söu,1
Tu,Söu,2
Ts,Söu,1
Udl,Söu,1
Upv,Söu,2
U,Söu,1
Vhe,Söu,1
Åbe,Söu,2
Äs,Söu,2
Öso,Söu,1
Öte,Söu,1
Bkb,Tåd,131
Bro,Tåd,57
Bål,Tåd,85
Fas,Tåd,123
Flb,Tåd,414
Gn,Tåd,35
Gdv,Tåd,1
Hnd,Tåd,189
Hel,Tåd,179
Hfa,Tåd,1
Hu,Tåd,259
Hgv,Tåd,77
Jkb,Tåd,300
Jbo,Tåd,116
Khä,Tåd,120
Ke,Tåd,349
Kn,Tåd,2
Kda,Tåd,1
Kän,Tåd,100
Mr,Tåd,189
Mö,Tåd,1
Nvk,Tåd,60
Ngd,Tåd,1
Nyh,Tåd,37
Rs,Tåd,30
R,Tåd,118
Rön,Tåd,88
Ssä,Tåd,1
Skg,Tåd,141
Sol,Tåd,235
So,Tåd,304
Spå,Tåd,237
Cst,Tåd,2752
Sst,Tåd,573
Sta,Tåd,115
Sub,Tåd,360
Söc,Tåd,31
Söd,Tåd,42
Söu,Tåd,1
Tåd,Tåd,0
Tul,Tåd,144
Tu,Tåd,250
Ts,Tåd,1
Udl,Tåd,104
Upv,Tåd,211
U,Tåd,9
Vhe,Tåd,7
Åbe,Tåd,315
Äs,Tåd,326
Öso,Tåd,1
Öte,Tåd,102
Bkb,Tul,261
Bro,Tul,114
Bål,Tul,169
Fas,Tul,232
Flb,Tul,884
Gn,Tul,76
Gdv,Tul,1
Hnd,Tul,349
Hel,Tul,358
Hfa,Tul,1
Hu,Tul,532
Hgv,Tul,153
Jkb,Tul,600
Jbo,Tul,214
Khä,Tul,239
Ke,Tul,699
Kn,Tul,4
Kda,Tul,2
Kän,Tul,199
Mr,Tul,378
Mö,Tul,1
Nvk,Tul,119
Ngd,Tul,1
Nyh,Tul,68
Rs,Tul,59
R,Tul,235
Rön,Tul,191
Ssä,Tul,1
Skg,Tul,261
Sol,Tul,471
So,Tul,607
Spå,Tul,474
Cst,Tul,5508
Sst,Tul,1145
Sta,Tul,235
Sub,Tul,721
Söc,Tul,68
Söd,Tul,91
Söu,Tul,1
Tåd,Tul,144
Tul,Tul,0
Tu,Tul,546
Ts,Tul,1
Udl,Tul,207
Upv,Tul,421
U,Tul,18
Vhe,Tul,12
Åbe,Tul,630
Äs,Tul,651
Öso,Tul,2
Öte,Tul,223
Bkb,Tu,453
Bro,Tu,198
Bål,Tu,293
Fas,Tu,402
Flb,Tu,1534
Gn,Tu,135
Gdv,Tu,2
Hnd,Tu,605
Hel,Tu,622
Hfa,Tu,1
Hu,Tu,922
Hgv,Tu,265
Jkb,Tu,1041
Jbo,Tu,372
Khä,Tu,414
Ke,Tu,1212
Kn,Tu,7
Kda,Tu,3
Kän,Tu,345
Mr,Tu,656
Mö,Tu,1
Nvk,Tu,206
Ngd,Tu,2
Nyh,Tu,130
Rs,Tu,103
R,Tu,408
Rön,Tu,342
Ssä,Tu,1
Skg,Tu,453
Sol,Tu,817
So,Tu,1054
Spå,Tu,822
Cst,Tu,9558
Sst,Tu,1988
Sta,Tu,407
Sub,Tu,1250
Söc,Tu,122
Söd,Tu,163
Söu,Tu,2
Tåd,Tu,250
Tul,Tu,546
Tu,Tu,0
Ts,Tu,2
Udl,Tu,358
Upv,Tu,731
U,Tu,31
Vhe,Tu,20
Åbe,Tu,1093
Äs,Tu,1130
Öso,Tu,3
Öte,Tu,400
Bkb,Ts,1
Bro,Ts,1
Bål,Ts,1
Fas,Ts,1
Flb,Ts,3
Gn,Ts,1
Gdv,Ts,1
Hnd,Ts,2
Hel,Ts,2
Hfa,Ts,1
Hu,Ts,2
Hgv,Ts,1
Jkb,Ts,3
Jbo,Ts,1
Khä,Ts,1
Ke,Ts,3
Kn,Ts,1
Kda,Ts,1
Kän,Ts,1
Mr,Ts,2
Mö,Ts,1
Nvk,Ts,1
Ngd,Ts,1
Nyh,Ts,1
Rs,Ts,1
R,Ts,1
Rön,Ts,1
Ssä,Ts,1
Skg,Ts,1
Sol,Ts,2
So,Ts,3
Spå,Ts,2
Cst,Ts,19
Sst,Ts,4
Sta,Ts,1
Sub,Ts,3
Söc,Ts,1
Söd,Ts,1
Söu,Ts,1
Tåd,Ts,1
Tul,Ts,1
Tu,Ts,2
Ts,Ts,0
Udl,Ts,1
Upv,Ts,2
U,Ts,1
Vhe,Ts,1
Åbe,Ts,3
Äs,Ts,3
Öso,Ts,1
Öte,Ts,1
Bkb,Udl,203
Bro,Udl,89
Bål,Udl,131
Fas,Udl,166
Flb,Udl,594
Gn,Udl,50
Gdv,Udl,1
Hnd,Udl,250
Hel,Udl,289
Hfa,Udl,1
Hu,Udl,366
Hgv,Udl,124
Jkb,Udl,465
Jbo,Udl,154
Khä,Udl,188
Ke,Udl,542
Kn,Udl,4
Kda,Udl,1
Kän,Udl,154
Mr,Udl,305
Mö,Udl,1
Nvk,Udl,96
Ngd,Udl,1
Nyh,Udl,49
Rs,Udl,48
R,Udl,190
Rön,Udl,126
Ssä,Udl,1
Skg,Udl,188
Sol,Udl,380
So,Udl,483
Spå,Udl,378
Cst,Udl,4201
Sst,Udl,859
Sta,Udl,164
Sub,Udl,566
Söc,Udl,45
Söd,Udl,60
Söu,Udl,1
Tåd,Udl,104
Tul,Udl,207
Tu,Udl,358
Ts,Udl,1
Udl,Udl,0
Upv,Udl,340
U,Udl,15
Vhe,Udl,9
Åbe,Udl,463
Äs,Udl,468
Öso,Udl,1
Öte,Udl,147
Bkb,Upv,437
Bro,Upv,181
Bål,Upv,266
Fas,Upv,339
Flb,Upv,1211
Gn,Upv,101
Gdv,Upv,2
Hnd,Upv,510
Hel,Upv,609
Hfa,Upv,1
Hu,Upv,746
Hgv,Upv,269
Jkb,Upv,947
Jbo,Upv,313
Khä,Upv,418
Ke,Upv,1104
Kn,Upv,8
Kda,Upv,3
Kän,Upv,314
Mr,Upv,717
Mö,Upv,1
Nvk,Upv,211
Ngd,Upv,2
Nyh,Upv,99
Rs,Upv,112
R,Upv,427
Rön,Upv,255
Ssä,Upv,1
Skg,Upv,382
Sol,Upv,815
So,Upv,984
Spå,Upv,785
Cst,Upv,8560
Sst,Upv,1750
Sta,Upv,335
Sub,Upv,1158
Söc,Upv,91
Söd,Upv,122
Söu,Upv,2
Tåd,Upv,210
Tul,Upv,421
Tu,Upv,730
Ts,Upv,2
Udl,Upv,340
Upv,Upv,0
U,Upv,34
Vhe,Upv,17
Åbe,Upv,942
Äs,Upv,952
Öso,Upv,2
Öte,Upv,298
Bkb,U,18
Bro,U,8
Bål,U,15
Fas,U,15
Flb,U,52
Gn,U,5
Gdv,U,1
Hnd,U,22
Hel,U,26
Hfa,U,1
Hu,U,31
Hgv,U,12
Jkb,U,40
Jbo,U,13
Khä,U,18
Ke,U,46
Kn,U,1
Kda,U,1
Kän,U,14
Mr,U,34
Mö,U,1
Nvk,U,9
Ngd,U,1
Nyh,U,5
Rs,U,5
R,U,18
Rön,U,11
Ssä,U,1
Skg,U,17
Sol,U,34
So,U,41
Spå,U,31
Cst,U,362
Sst,U,73
Sta,U,14
Sub,U,49
Söc,U,4
Söd,U,6
Söu,U,1
Tåd,U,9
Tul,U,18
Tu,U,31
Ts,U,1
Udl,U,15
Upv,U,34
U,U,0
Vhe,U,1
Åbe,U,40
Äs,U,40
Öso,U,1
Öte,U,13
Bkb,Vhe,11
Bro,Vhe,5
Bål,Vhe,7
Fas,Vhe,10
Flb,Vhe,34
Gn,Vhe,3
Gdv,Vhe,1
Hnd,Vhe,17
Hel,Vhe,15
Hfa,Vhe,1
Hu,Vhe,21
Hgv,Vhe,7
Jkb,Vhe,24
Jbo,Vhe,11
Khä,Vhe,10
Ke,Vhe,28
Kn,Vhe,1
Kda,Vhe,1
Kän,Vhe,8
Mr,Vhe,16
Mö,Vhe,1
Nvk,Vhe,5
Ngd,Vhe,1
Nyh,Vhe,4
Rs,Vhe,3
R,Vhe,10
Rön,Vhe,7
Ssä,Vhe,1
Skg,Vhe,12
Sol,Vhe,19
So,Vhe,25
Spå,Vhe,19
Cst,Vhe,221
Sst,Vhe,46
Sta,Vhe,10
Sub,Vhe,29
Söc,Vhe,3
Söd,Vhe,4
Söu,Vhe,1
Tåd,Vhe,7
Tul,Vhe,12
Tu,Vhe,20
Ts,Vhe,1
Udl,Vhe,9
Upv,Vhe,17
U,Vhe,1
Vhe,Vhe,0
Åbe,Vhe,26
Äs,Vhe,27
Öso,Vhe,1
Öte,Vhe,9
Bkb,Åbe,585
Bro,Åbe,256
Bål,Åbe,378
Fas,Åbe,507
Flb,Åbe,1814
Gn,Åbe,151
Gdv,Åbe,2
Hnd,Åbe,764
Hel,Åbe,802
Hfa,Åbe,1
Hu,Åbe,1117
Hgv,Åbe,342
Jkb,Åbe,1343
Jbo,Åbe,469
Khä,Åbe,534
Ke,Åbe,1565
Kn,Åbe,9
Kda,Åbe,4
Kän,Åbe,445
Mr,Åbe,847
Mö,Åbe,1
Nvk,Åbe,265
Ngd,Åbe,2
Nyh,Åbe,148
Rs,Åbe,132
R,Åbe,527
Rön,Åbe,382
Ssä,Åbe,2
Skg,Åbe,572
Sol,Åbe,1054
So,Åbe,1360
Spå,Åbe,1061
Cst,Åbe,12337
Sst,Åbe,2565
Sta,Åbe,501
Sub,Åbe,1614
Söc,Åbe,136
Söd,Åbe,183
Söu,Åbe,2
Tåd,Åbe,315
Tul,Åbe,630
Tu,Åbe,1093
Ts,Åbe,3
Udl,Åbe,462
Upv,Åbe,943
U,Åbe,40
Vhe,Åbe,26
Åbe,Åbe,0
Äs,Åbe,1427
Öso,Åbe,3
Öte,Åbe,447
Bkb,Äs,591
Bro,Äs,259
Bål,Äs,382
Fas,Äs,524
Flb,Äs,1874
Gn,Äs,156
Gdv,Äs,3
Hnd,Äs,789
Hel,Äs,811
Hfa,Äs,1
Hu,Äs,1154
Hgv,Äs,346
Jkb,Äs,1358
Jbo,Äs,485
Khä,Äs,540
Ke,Äs,1582
Kn,Äs,9
Kda,Äs,4
Kän,Äs,450
Mr,Äs,856
Mö,Äs,1
Nvk,Äs,268
Ngd,Äs,2
Nyh,Äs,153
Rs,Äs,134
R,Äs,533
Rön,Äs,395
Ssä,Äs,2
Skg,Äs,591
Sol,Äs,1066
So,Äs,1375
Spå,Äs,1073
Cst,Äs,12472
Sst,Äs,2593
Sta,Äs,518
Sub,Äs,1632
Söc,Äs,141
Söd,Äs,189
Söu,Äs,2
Tåd,Äs,326
Tul,Äs,651
Tu,Äs,1130
Ts,Äs,3
Udl,Äs,468
Upv,Äs,953
U,Äs,40
Vhe,Äs,27
Åbe,Äs,1427
Äs,Äs,0
Öso,Äs,4
Öte,Äs,461
Bkb,Öso,2
Bro,Öso,1
Bål,Öso,1
Fas,Öso,2
Flb,Öso,4
Gn,Öso,1
Gdv,Öso,1
Hnd,Öso,2
Hel,Öso,2
Hfa,Öso,1
Hu,Öso,3
Hgv,Öso,1
Jkb,Öso,3
Jbo,Öso,2
Khä,Öso,2
Ke,Öso,4
Kn,Öso,1
Kda,Öso,1
Kän,Öso,1
Mr,Öso,2
Mö,Öso,1
Nvk,Öso,1
Ngd,Öso,1
Nyh,Öso,1
Rs,Öso,1
R,Öso,2
Rön,Öso,1
Ssä,Öso,1
Skg,Öso,2
Sol,Öso,3
So,Öso,3
Spå,Öso,3
Cst,Öso,26
Sst,Öso,6
Sta,Öso,2
Sub,Öso,4
Söc,Öso,1
Söd,Öso,1
Söu,Öso,1
Tåd,Öso,1
Tul,Öso,2
Tu,Öso,3
Ts,Öso,1
Udl,Öso,1
Upv,Öso,2
U,Öso,1
Vhe,Öso,1
Åbe,Öso,3
Äs,Öso,3
Öso,Öso,0
Öte,Öso,2
Bkb,Öte,185
Bro,Öte,81
Bål,Öte,120
Fas,Öte,164
Flb,Öte,626
Gn,Öte,60
Gdv,Öte,1
Hnd,Öte,247
Hel,Öte,254
Hfa,Öte,1
Hu,Öte,377
Hgv,Öte,109
Jkb,Öte,425
Jbo,Öte,152
Khä,Öte,169
Ke,Öte,495
Kn,Öte,3
Kda,Öte,1
Kän,Öte,141
Mr,Öte,268
Mö,Öte,1
Nvk,Öte,84
Ngd,Öte,1
Nyh,Öte,55
Rs,Öte,42
R,Öte,167
Rön,Öte,146
Ssä,Öte,1
Skg,Öte,185
Sol,Öte,334
So,Öte,430
Spå,Öte,336
Cst,Öte,3902
Sst,Öte,812
Sta,Öte,166
Sub,Öte,511
Söc,Öte,55
Söd,Öte,73
Söu,Öte,1
Tåd,Öte,102
Tul,Öte,223
Tu,Öte,400
Ts,Öte,1
Udl,Öte,147
Upv,Öte,299
U,Öte,13
Vhe,Öte,9
Åbe,Öte,447
Äs,Öte,461
Öso,Öte,2
Öte,Öte,0
